Tanggal,Gross Vol,Temperature,API,Meter Factor,CTL,CPL,GSV,S&W,col9,Selisih  Stock Tank,Transit Volume,Net Volume,RVP,Emulsi,Evaporasi,Shrinkage Lv 1 ,Shrinkage Lv 2,Alokasi Volume,Alokasi Factor, Receive Volume,Diskrepansi,col22
2026-04-01,7721.9419509202435,93.0,66.2,1.0,0.978,1.0,7552.059227999998,0.0,0.0,131.0,7421.059227999998,7552.059227999998,10.4,0.0,2.199226115349948,0.2637594218507519,4.387446032415524,7545.208796430382,0.9814671494486444,7405.374569427364,-0.0185328505513556,-139.834227003018
2026-04-02,7676.6243332992735,92.0,66.0,1.0,0.9787,1.0,7513.112234999999,0.0,0.0,135.0,7378.112234999999,7513.112234999999,10.6,0.0,2.187883348642414,0.2880146640516359,4.271318141768774,7506.365018845536,1.0097207357993203,7579.332410006995,0.0097207357993205,72.96739116145909
2026-04-03,7723.712751815115,93.0,66.7,1.0,0.9779,1.0,7553.0187,0.0,0.0,478.0,7075.0187000000005,7553.0187,10.4,0.0,2.199501193917072,0.4978935926848233,4.952274078855486,7545.369031134544,0.9635633122842509,7270.440776047008,-0.0364366877157492,-274.92825508753504
2026-04-04,7959.6817577925385,92.0,67.1,1.0,0.9785,1.0,7788.548599999999,0.0,0.0,-93.0,7881.548599999999,7788.548599999999,10.5,0.0,2.268091446407157,0.2224651414690646,4.831139817878563,7781.226903594244,1.0004834786327028,7784.988960538345,0.0004834786327028,3.76205694410055
2026-04-05,7905.833234542667,92.0,67.1,1.0,0.9785,1.0,7735.85782,0.0,0.0,-131.0,7866.85782,7735.85782,10.5,0.0,2.252747689719309,0.6639968889932308,4.376363112831804,7728.564712308455,0.9662710267567168,7467.88815991802,-0.0337289732432832,-260.67655239043506
2026-04-06,7945.9348703760625,96.0,66.7,1.0,0.9759,1.0,7754.43784,0.0,0.0,-299.0,8053.43784,7754.43784,10.4,0.0,2.2581561048214693,0.5233364000543335,4.093193111221581,7747.563154383902,1.0075789531851385,7806.281572829881,0.0075789531851384,58.718418445979296
2026-04-07,7552.681122375832,95.0,67.0,1.0,0.9765,1.0,7375.193116,0.0,0.0,-2.0,7377.193116,7375.193116,10.5,0.0,2.147719055842569,0.5748498074368437,3.978721138857396,7368.491825997863,1.0010441234906622,7376.18544140414,0.0010441234906622,7.6936154062768765
2026-04-08,11822.677310924368,96.0,67.1,1.0,0.9758,1.0,11536.56852,0.0,0.0,187.0,11349.56852,11536.56852,10.6,0.0,3.359549569680175,0.7977057771297974,6.532967506426011,11525.878297146764,0.9909223515097698,11421.250425424092,-0.0090776484902301,-104.62787172267052
2026-04-09,13137.950912072147,96.0,67.1,1.0,0.9758,1.0,12820.0125,0.0,0.0,-92.0,12912.0125,12820.0125,10.9,0.0,3.7333096852341834,0.0,12.06230568176328,12804.216884633002,0.9778809678729432,12521.0,-0.0221190321270569,-283.21688463300234
2026-04-10,13177.089903747696,95.0,66.7,1.0,0.9766,1.0,12868.746,0.0,0.0,-463.0,13331.746,12868.746,10.4,0.0,3.747485262179553,0.0,11.258220116329566,12853.74029462149,1.0729950725526265,13792.000000000002,0.0729950725526263,938.259705378512
2026-04-11,13256.90942585201,94.0,66.9,1.0,0.9771,1.0,12953.3262,0.0,0.0,379.0,12574.3262,12953.3262,10.2,0.0,3.7721047467188975,0.0,6.5542945759967965,12942.999800677284,0.9542610051924512,12351.0,-0.0457389948075488,-591.9998006772839
2026-04-12,13078.44639016897,95.0,67.1,1.0,0.9765,1.0,12771.1029,0.0,0.0,47.0,12724.1029,12771.1029,10.2,0.0,3.7190399690486826,0.0,9.003092347331917,12758.38076768362,1.0919881020708444,13932.0,0.0919881020708444,1173.6192323163796
2026-04-13,12984.492474659568,95.0,66.8,1.0,0.9767,1.0,12681.9538,0.0,0.0,-224.0,12905.9538,12681.9538,10.2,0.0,3.69308256156296,0.0,7.932552885986434,12670.32816455245,0.9729819022754144,12328.0,-0.0270180977245857,-342.3281645524494
2026-04-14,9580.054125652307,94.0,67.2,1.0,0.9773,1.0,9362.586897,0.0,0.0,-249.0,9611.586897,9362.586897,10.2,0.0,2.7264575168710605,0.4939099636725573,6.767002407253638,9352.5995271122,1.024072425645091,9577.739283816923,0.024072425645091,225.1397567047225
2026-04-15,9466.288856616895,93.0,67.1,1.0,0.9778,1.0,9256.137244,0.0,0.0,238.0,9018.137244,9256.137244,10.3,0.0,2.6954610911432044,0.7033116598189133,6.961018828949065,9245.777452420089,0.939012079434608,8681.896711586598,-0.060987920565392,-563.8807408334887
2026-04-16,8658.21366947066,97.0,67.9,1.0,0.9748,1.0,8440.026685,0.0,0.0,47.0,8393.026685,8440.026685,10.2,0.0,2.457800867544844,1.034026533585894,6.237330564291323,8430.29752703458,0.9435399075744,7954.3221494829,-0.0564600924255999,-475.9753775516792
2026-04-17,8101.7195241019335,94.0,66.9,1.0,0.9771,1.0,7916.190146999999,0.0,0.0,6.0,7910.190146999999,7916.190146999999,10.2,0.0,2.3052632676611764,0.5695599982348188,5.519937335029646,7907.795386399074,1.013202109493168,8012.194966939884,0.013202109493168,104.39958054080944
2026-04-18,7447.901143090428,90.0,66.9,1.0,0.9798,1.0,7297.453540000001,0.0,0.0,13.0,7284.453540000001,7297.453540000001,10.6,0.0,2.125081798294256,0.2973706863290989,5.26936034288336,7289.761727172494,0.9528171954711738,6945.810324537596,-0.0471828045288261,-343.951402634898
2026-04-19,7539.169392857142,90.0,66.2,1.0,0.98,1.0,7388.386004999999,0.0,0.0,-93.0,7481.386004999999,7388.386004999999,10.7,0.0,2.1515650845573395,0.4552567621140524,4.9825608714754726,7380.796622281852,1.0082597813714915,7441.760388729343,0.0082597813714915,60.96376644749125
2026-04-20,5431.657493110137,90.0,67.5,1.0,0.9797,1.0,5321.394846000001,0.0,0.0,786.0,4535.394846000001,5321.394846000001,10.7,0.0,1.5496384926354403,1.7688263035225595,5.971944958794085,5312.104436245049,0.902003123103888,4791.5347917470535,-0.0979968768961118,-520.5696444979958
2026-04-21,7487.281109520401,93.0,66.7,1.0,0.9779,1.0,7321.812196999999,0.0,0.0,-1780.0,9101.812197,7321.812196999999,10.1,0.0,2.132166137007044,1.7309383548266026,8.795014293271862,7309.154078214894,1.135140486290699,8296.916714718502,0.1351404862906991,987.7626365036076
2026-04-22,13201.176861702128,93.0,67.8,1.0,0.9776,1.0,12905.4705,0.0,0.0,374.0,12531.4705,12905.4705,10.0,0.0,3.75817234504633,0.0,15.848266650311064,12885.864061004644,0.9838688302142125,12678.0,-0.0161311697857875,-207.8640610046441
2026-04-23,13505.079022694747,92.0,67.9,1.0,0.9782,1.0,13210.6683,0.0,0.0,0.6,13210.0683,13210.6683,9.9,0.0,3.84703707622816,0.0,10.881985320099126,13195.939277603677,0.9710563022783903,12814.0,-0.0289436977216095,-381.9392776036748
2026-04-24,13189.351221506695,92.0,67.7,1.0,0.9783,1.0,12903.1423,0.0,0.0,50.0,12853.1423,12903.1423,10.0,0.0,3.757487215131087,0.0,9.569418384893703,12889.815394399977,0.9892306142367032,12751.0,-0.0107693857632968,-138.81539439997505
2026-04-25,13191.492493105914,91.0,67.5,1.0,0.9791,1.0,12915.7903,0.0,0.0,34.0,12881.7903,12915.7903,10.0,0.0,3.761170403085775,0.0,9.753054155232013,12902.276075441683,1.0135421009081405,13077.0,0.0135421009081403,174.72392455831687
2026-04-26,13254.4372891751,92.0,67.8,1.0,0.9783,1.0,12966.816,0.0,0.0,280.0,12686.816,12966.816,10.5,0.0,3.776053351073546,0.0,9.958901898126262,12953.0810447508,0.9431732850116694,12217.0,-0.0568267149883305,-736.0810447508011
2026-04-27,13080.502151198525,95.0,67.9,1.0,0.9762,1.0,12769.1862,0.0,0.0,-67.0,12836.1862,12769.1862,10.2,0.0,3.71848900468429,0.0,9.970326299938316,12755.497384695376,1.0176004595143415,12980.0,0.0176004595143418,224.50261530462376
2026-04-28,12943.241428717633,94.0,67.0,1.0,0.9771,1.0,12646.8412,0.0,0.0,301.0,12345.8412,12646.8412,10.2,0.0,3.6828711406671575,0.0,13.492245648721452,12629.66608321061,0.9525984234843348,12031.0,-0.0474015765156652,-598.6660832106099
2026-04-29,13141.84302682777,95.0,66.6,1.0,0.9766,1.0,12834.3239,0.0,0.0,245.0,12589.3239,12834.3239,10.0,0.0,3.737450393561293,0.0,14.045315018800949,12816.541134587638,0.9834946782937593,12605.0,-0.0165053217062408,-211.54113458763825
2026-04-30,12994.262014550672,96.0,66.3,1.0,0.9759,1.0,12681.1003,0.0,0.0,-32.0,12713.1003,12681.1003,10.4,0.0,3.692841088653581,0.0,7.089761387585639,12670.31769752376,0.9291006177612008,11772.0,-0.0708993822387992,-898.3176975237602
2026-05-01,12972.733066912593,96.0,66.5,1.0,0.9759,1.0,12660.0902,0.0,0.0,-178.0,12838.0902,12660.0902,10.3,0.0,3.686719108881736,0.0,6.775587384708841,12649.627893506407,0.9955233549964362,12593.0,-0.0044766450035638,-56.62789350640742
2026-05-02,326800.64822158625,92.0,67.4,1.0,0.9784,1.0,319741.75422,0.0,0.0,69.0,319672.75422,319741.75422,10.0,0.0,0.0,10.885221955774975,242.12292029802896,319488.7460777462,30.688393956155195,9804596.504191907,29.688393956155195,9485107.758114165
2026-05-03,10593.618186140026,94.0,66.9,1.0,0.9771,1.0,10351.02432967742,0.0,0.0,39.0,10312.02432967742,10351.02432967742,10.3,0.0,0.0,0.3511361921217734,7.810416783807386,10342.86277670149,0.9899481921340386,10238.898307286085,-0.0100518078659613,-103.96446941540673
2026-05-04,4703.5731016097625,97.0,66.4,1.0,0.9753,1.0,4587.394846000001,0.0,0.0,52.0,4535.394846000001,4587.394846000001,10.0,0.0,0.0,0.0,3.978721138857396,4583.416124861144,0.902003123103888,4134.255659109472,-0.0979968768961119,-449.16046575167184
2026-05-05,13200.559426229507,96.0,66.1,1.0,0.976,1.0,12883.746,0.0,0.0,-448.0,13331.746,12883.746,10.2,0.0,0.0,1.7688263035225595,15.848266650311064,12866.128907046164,1.135140486290699,14604.863824223205,0.1351404862906991,1738.7349171770402
2026-05-06,487.355380362445,95.0,66.1,1.0,0.9767,1.0,476.0,0.0,0.0,476.0,0.0,476.0,10.3,0.0,0.0,0.0,0.0,476.0,0.0,0.0,-1.0,-476.0
2026-05-07,-57.300726491353736,94.0,66.2,1.0,0.9773,1.0,-56.0,0.0,0.0,-56.0,0.0,-56.0,10.2,0.0,0.0,0.0,0.0,-56.0,0.0,0.0,0.0,56.0
2026-05-08,114.460909555442,92.0,66.8,1.0,0.9785,1.0,112.0,0.0,0.0,112.0,0.0,112.0,10.2,0.0,0.0,0.0,0.0,112.0,0.0,0.0,-1.0,-112.0
2026-05-09,-78.85304659498208,95.0,66.8,1.0,0.9765,1.0,-77.0,0.0,0.0,-77.0,0.0,-77.0,10.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,77.0
2026-05-10,-17.409114183307732,95.0,67.1,1.0,0.9765,1.0,-17.0,0.0,0.0,-17.0,0.0,-17.0,10.4,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,17.0
2026-05-11,-156.7622950819672,96.0,65.9,1.0,0.976,1.0,-153.0,0.0,0.0,-153.0,0.0,-153.0,10.7,0.0,0.0,0.0,0.0,-153.0,0.0,0.0,0.0,153.0
2026-05-12,90.03478616738285,94.0,66.1,1.0,0.9774,1.0,88.0,0.0,0.0,88.0,0.0,88.0,10.4,0.0,0.0,0.0,0.0,88.0,0.0,0.0,-1.0,-88.0
2026-05-13,48.086760793943114,94.0,66.1,1.0,0.9774,1.0,47.0,0.0,0.0,47.0,0.0,47.0,10.2,0.0,0.0,0.0,0.0,47.0,0.0,0.0,-1.0,-47.0
2026-05-14,-143.2225063938619,93.0,68.4,1.0,0.9775,1.0,-140.0,0.0,0.0,-140.0,0.0,-140.0,10.4,0.0,0.0,0.0,0.0,-140.0,0.0,0.0,0.0,140.0
2026-05-15,114.61318051575931,94.0,66.7,1.0,0.9772,1.0,112.0,0.0,0.0,112.0,0.0,112.0,10.3,0.0,0.0,0.0,0.0,112.0,0.0,0.0,-1.0,-112.0
2026-05-16,46.01697515083342,93.0,66.4,1.0,0.9779,1.0,45.0,0.0,0.0,45.0,0.0,45.0,10.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,-1.0,-45.0
2026-05-17,42.953569237062794,93.0,67.2,1.0,0.9778,1.0,42.0,0.0,0.0,42.0,0.0,42.0,10.3,0.0,0.0,0.0,0.0,42.0,0.0,0.0,-1.0,-42.0
2026-05-18,9.209045328967564,94.0,66.4,1.0,0.9773,1.0,9.0,0.0,0.0,9.0,0.0,9.0,10.6,0.0,0.0,0.0,0.0,9.0,0.0,0.0,-1.0,-9.0
2026-05-19,-81.91685439279131,95.0,66.5,1.0,0.9766,1.0,-80.0,0.0,0.0,-80.0,0.0,-80.0,10.4,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,80.0
2026-05-20,-167.17948717948718,97.0,67.2,1.0,0.975,1.0,-163.0,0.0,0.0,-163.0,0.0,-163.0,10.6,0.0,0.0,0.0,0.0,-163.0,0.0,0.0,0.0,163.0
2026-05-21,-59.43231888513167,96.0,66.3,1.0,0.9759,1.0,-58.0,0.0,0.0,-58.0,0.0,-58.0,10.3,0.0,0.0,0.0,0.0,-58.0,0.0,0.0,0.0,58.0
2026-05-22,8.197561225535404,96.0,66.7,1.0,0.9759,1.0,8.0,0.0,0.0,8.0,0.0,8.0,10.8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-1.0,-8.0
2026-05-23,-19.457245263696876,95.0,67.1,1.0,0.9765,1.0,-19.0,0.0,0.0,-19.0,0.0,-19.0,10.2,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,19.0
2026-05-24,-254.1243979915975,96.0,66.3,1.0,0.9759,1.0,-248.0,0.0,0.0,-248.0,0.0,-248.0,10.6,0.0,0.0,0.0,0.0,-248.0,0.0,0.0,0.0,248.0
2026-05-25,167.67201717615785,92.0,68.5,1.0,0.9781,1.0,164.0,0.0,0.0,164.0,0.0,164.0,10.2,0.0,0.0,0.0,0.0,164.0,0.0,0.0,-1.0,-164.0
2026-05-26,-220.17409114183306,95.0,66.8,1.0,0.9765,1.0,-215.0,0.0,0.0,-215.0,0.0,-215.0,9.9,0.0,0.0,0.0,0.0,-215.0,0.0,0.0,0.0,215.0
2026-05-27,404.21612771182976,94.0,66.7,1.0,0.9772,1.0,395.0,0.0,0.0,395.0,0.0,395.0,10.5,0.0,0.0,0.0,0.0,395.0,0.0,0.0,-1.0,-395.0
2026-05-28,-394.4672131147541,96.0,66.2,1.0,0.976,1.0,-385.0,0.0,0.0,-385.0,0.0,-385.0,10.4,0.0,0.0,0.0,0.0,-385.0,0.0,0.0,0.0,385.0
2026-05-29,23.534226951805998,94.0,66.2,1.0,0.9773,1.0,23.0,0.0,0.0,23.0,0.0,23.0,10.9,0.0,0.0,0.0,0.0,23.0,0.0,0.0,-1.0,-23.0
2026-05-30,127.03616432742547,96.0,65.6,1.0,0.9761,1.0,124.0,0.0,0.0,124.0,0.0,124.0,10.7,0.0,0.0,0.0,0.0,124.0,0.0,0.0,-1.0,-124.0
2026-05-31,186.74327929406937,98.0,66.4,1.0,0.9746,1.0,182.0,0.0,0.0,182.0,0.0,182.0,10.1,0.0,0.0,0.0,0.0,182.0,0.0,0.0,-1.0,-182.0
2026-06-01,-75.92858608659962,98.0,66.9,1.0,0.9746,1.0,-74.0,0.0,0.0,-74.0,0.0,-74.0,10.2,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0,74.0
2026-06-02,#DIV/0!,,,1.0,,1.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-03,#DIV/0!,,,1.0,,1.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-04,#DIV/0!,,,1.0,,1.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05,#DIV/0!,,,1.0,,1.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
